k_s,sensitivity,cantera equation,cantera products,cantera reactants
72,-0.042556323181667015,HCO(14) + O2(2) <=> CO(12) + HO2(10),"{'CO(12)': 1.0, 'HO2(10)': 1.0}","{'HCO(14)': 1.0, 'O2(2)': 1.0}"
10,-0.03864646073269024,CH2(T)(17) + O2(2) <=> CO2(13) + H2(6),"{'CO2(13)': 1.0, 'H2(6)': 1.0}","{'CH2(T)(17)': 1.0, 'O2(2)': 1.0}"
54,-0.036095354951216505,CH2(T)(17) + OH(5) <=> CH2O(19) + H(3),"{'CH2O(19)': 1.0, 'H(3)': 1.0}","{'CH2(T)(17)': 1.0, 'OH(5)': 1.0}"
17,-0.03325824666297511,CH2F(45) + O2(2) (+M) <=> CHFO(46) + OH(5) (+M),"{'CHFO(46)': 1.0, 'OH(5)': 1.0}","{'CH2F(45)': 1.0, 'O2(2)': 1.0}"
56,-0.03209916766665167,CH2(T)(17) + O2(2) <=> CH2O(19) + O(4),"{'CH2O(19)': 1.0, 'O(4)': 1.0}","{'CH2(T)(17)': 1.0, 'O2(2)': 1.0}"
71,-0.03164222663430047,HCO(14) + OH(5) <=> CO(12) + H2O(7),"{'CO(12)': 1.0, 'H2O(7)': 1.0}","{'HCO(14)': 1.0, 'OH(5)': 1.0}"
100,-0.0316051077769476,CH(16) + CO2(13) <=> CO(12) + HCO(14),"{'CO(12)': 1.0, 'HCO(14)': 1.0}","{'CH(16)': 1.0, 'CO2(13)': 1.0}"
81,-0.027118642447940246,CH2F(45) + HCO(14) <=> CH3F(1) + CO(12),"{'CH3F(1)': 1.0, 'CO(12)': 1.0}","{'CH2F(45)': 1.0, 'HCO(14)': 1.0}"
20,0.023666242969468763,H2(6) + O(4) <=> H(3) + OH(5),"{'H(3)': 1.0, 'OH(5)': 1.0}","{'H2(6)': 1.0, 'O(4)': 1.0}"
74,-0.023254406102952384,CH2O(19) + H(3) <=> H2(6) + HCO(14),"{'H2(6)': 1.0, 'HCO(14)': 1.0}","{'CH2O(19)': 1.0, 'H(3)': 1.0}"
24,0.021532911579566657,CH3F(1) + O(4) <=> CH2F(45) + OH(5),"{'CH2F(45)': 1.0, 'OH(5)': 1.0}","{'CH3F(1)': 1.0, 'O(4)': 1.0}"
98,-0.019324711871408277,CH(16) + O2(2) <=> CO(12) + OH(5),"{'CO(12)': 1.0, 'OH(5)': 1.0}","{'CH(16)': 1.0, 'O2(2)': 1.0}"
50,-0.01928374158352785,CH2(T)(17) + O2(2) <=> CO(12) + H(3) + OH(5),"{'CO(12)': 1.0, 'H(3)': 1.0, 'OH(5)': 1.0}","{'CH2(T)(17)': 1.0, 'O2(2)': 1.0}"
76,0.014705305484251315,CH2O(19) + OH(5) <=> H2O(7) + HCO(14),"{'H2O(7)': 1.0, 'HCO(14)': 1.0}","{'CH2O(19)': 1.0, 'OH(5)': 1.0}"
51,-0.013996441476379708,CH2(T)(17) + O2(2) <=> CO(12) + H2O(7),"{'CO(12)': 1.0, 'H2O(7)': 1.0}","{'CH2(T)(17)': 1.0, 'O2(2)': 1.0}"
27,0.013773922846752232,H(3) + HO2(10) <=> 2 OH(5),{'OH(5)': 2.0},"{'H(3)': 1.0, 'HO2(10)': 1.0}"
95,-0.013753220979824453,CH(16) + H2O(7) <=> CH2O(19) + H(3),"{'CH2O(19)': 1.0, 'H(3)': 1.0}","{'CH(16)': 1.0, 'H2O(7)': 1.0}"
111,-0.013589659961190017,CFO(50) + H(3) <=> CO(12) + HF(38),"{'CO(12)': 1.0, 'HF(38)': 1.0}","{'CFO(50)': 1.0, 'H(3)': 1.0}"
97,-0.013396356193946314,CH(16) + O2(2) <=> CO2(13) + H(3),"{'CO2(13)': 1.0, 'H(3)': 1.0}","{'CH(16)': 1.0, 'O2(2)': 1.0}"
118,0.01209540760260066,CO(12) + F(37) + M <=> CFO(50) + M,{'CFO(50)': 1.0},"{'CO(12)': 1.0, 'F(37)': 1.0}"
35,-0.01122380674813,H2O(7) + M <=> H(3) + OH(5) + M,"{'H(3)': 1.0, 'OH(5)': 1.0}",{'H2O(7)': 1.0}
106,-0.009708572555633224,CHFO(46) + H(3) <=> CFO(50) + H2(6),"{'CFO(50)': 1.0, 'H2(6)': 1.0}","{'CHFO(46)': 1.0, 'H(3)': 1.0}"
26,-0.008422473240378162,H(3) + HO2(10) <=> H2(6) + O2(2),"{'H2(6)': 1.0, 'O2(2)': 1.0}","{'H(3)': 1.0, 'HO2(10)': 1.0}"
704,-0.00733888018978221,CHFO(46) + H(3) <=> CH2F(45) + O(4),"{'CH2F(45)': 1.0, 'O(4)': 1.0}","{'CHFO(46)': 1.0, 'H(3)': 1.0}"
7,0.007320552999061827,CH2(T)(17) + O2(2) <=> CO2(13) + 2 H(3),"{'CO2(13)': 1.0, 'H(3)': 2.0}","{'CH2(T)(17)': 1.0, 'O2(2)': 1.0}"
89,-0.007045302640147869,HCO(14) + OH(5) <=> CO2(13) + H2(6),"{'CO2(13)': 1.0, 'H2(6)': 1.0}","{'HCO(14)': 1.0, 'OH(5)': 1.0}"
46,-0.006950280247094381,CO(12) + OH(5) <=> CO2(13) + H(3),"{'CO2(13)': 1.0, 'H(3)': 1.0}","{'CO(12)': 1.0, 'OH(5)': 1.0}"
34,-0.006904168713392998,2 OH(5) <=> H2O(7) + O(4),"{'H2O(7)': 1.0, 'O(4)': 1.0}",{'OH(5)': 2.0}
96,-0.006780642312646056,CH(16) + O2(2) <=> HCO(14) + O(4),"{'HCO(14)': 1.0, 'O(4)': 1.0}","{'CH(16)': 1.0, 'O2(2)': 1.0}"
49,-0.006711757979408216,CH2(T)(17) + O(4) <=> CO(12) + 2 H(3),"{'CO(12)': 1.0, 'H(3)': 2.0}","{'CH2(T)(17)': 1.0, 'O(4)': 1.0}"
99,0.006368136027728745,CH(16) + O2(2) <=> CO(12) + H(3) + O(4),"{'CO(12)': 1.0, 'H(3)': 1.0, 'O(4)': 1.0}","{'CH(16)': 1.0, 'O2(2)': 1.0}"
36,-0.0058271006964103955,2 H2O(7) <=> H(3) + H2O(7) + OH(5),"{'H(3)': 1.0, 'H2O(7)': 1.0, 'OH(5)': 1.0}",{'H2O(7)': 2.0}
22,-0.005768618942815323,H(3) + O(4) + M <=> OH(5) + M,{'OH(5)': 1.0},"{'H(3)': 1.0, 'O(4)': 1.0}"
41,0.004897616950380604,CH2F(45) + O2(2) <=> [O]OCF(198),{'[O]OCF(198)': 1.0},"{'CH2F(45)': 1.0, 'O2(2)': 1.0}"
69,-0.0047584688794941625,HCO(14) + O(4) <=> CO(12) + OH(5),"{'CO(12)': 1.0, 'OH(5)': 1.0}","{'HCO(14)': 1.0, 'O(4)': 1.0}"
92,-0.004254143425136037,CH(16) + O(4) <=> CO(12) + H(3),"{'CO(12)': 1.0, 'H(3)': 1.0}","{'CH(16)': 1.0, 'O(4)': 1.0}"
52,0.0038799506826310446,CHFO(46) + M <=> CO(12) + HF(38) + M,"{'CO(12)': 1.0, 'HF(38)': 1.0}",{'CHFO(46)': 1.0}
19,0.003695869242539129,H2(6) + O(4) <=> H(3) + OH(5),"{'H(3)': 1.0, 'OH(5)': 1.0}","{'H2(6)': 1.0, 'O(4)': 1.0}"
120,0.0036525732032254743,F(37) + H2(6) <=> H(3) + HF(38),"{'H(3)': 1.0, 'HF(38)': 1.0}","{'F(37)': 1.0, 'H2(6)': 1.0}"
38,-0.0031803135298481503,HO2(10) + OH(5) <=> H2O(7) + O2(2),"{'H2O(7)': 1.0, 'O2(2)': 1.0}","{'HO2(10)': 1.0, 'OH(5)': 1.0}"
109,-0.0026611220961672644,CHFO(46) + OH(5) <=> CFO(50) + H2O(7),"{'CFO(50)': 1.0, 'H2O(7)': 1.0}","{'CHFO(46)': 1.0, 'OH(5)': 1.0}"
8,0.0025913274780512262,CHO2(154) <=> CO2(13) + H(3),"{'CO2(13)': 1.0, 'H(3)': 1.0}",{'CHO2(154)': 1.0}
126,0.0020399130275850783,F(37) + H2O(7) <=> HF(38) + OH(5),"{'HF(38)': 1.0, 'OH(5)': 1.0}","{'F(37)': 1.0, 'H2O(7)': 1.0}"
9,-0.0019052625979706457,H2(6) + M <=> 2 H(3) + M,{'H(3)': 2.0},{'H2(6)': 1.0}
28,-0.0015095391749527331,HO2(10) + O(4) <=> O2(2) + OH(5),"{'O2(2)': 1.0, 'OH(5)': 1.0}","{'HO2(10)': 1.0, 'O(4)': 1.0}"
234,-0.0013986629877729576,H(3) + [O][C]1OO1(659) <=> CO2(13) + OH(5),"{'CO2(13)': 1.0, 'OH(5)': 1.0}","{'H(3)': 1.0, '[O][C]1OO1(659)': 1.0}"
193,0.00129483884366153,HCO(14) + O2(2) <=> CHO2(154) + O(4),"{'CHO2(154)': 1.0, 'O(4)': 1.0}","{'HCO(14)': 1.0, 'O2(2)': 1.0}"
93,-0.0012115562306378137,CH(16) + OH(5) <=> H(3) + HCO(14),"{'H(3)': 1.0, 'HCO(14)': 1.0}","{'CH(16)': 1.0, 'OH(5)': 1.0}"
171,0.0010358990336858092,H(3) + O2(149) <=> O(4) + OH(5),"{'O(4)': 1.0, 'OH(5)': 1.0}","{'H(3)': 1.0, 'O2(149)': 1.0}"
112,-0.0009953620000721453,CFO(50) + CH2(T)(17) <=> CH2F(45) + CO(12),"{'CH2F(45)': 1.0, 'CO(12)': 1.0}","{'CFO(50)': 1.0, 'CH2(T)(17)': 1.0}"
102,-0.0009758985859471183,CH(16) + HF(38) <=> CH2F(45),{'CH2F(45)': 1.0},"{'CH(16)': 1.0, 'HF(38)': 1.0}"
90,-0.0009586152875756263,CHO2(154) + H(3) <=> CO2(13) + H2(6),"{'CO2(13)': 1.0, 'H2(6)': 1.0}","{'CHO2(154)': 1.0, 'H(3)': 1.0}"
358,0.0009381056361583537,CFO2(178) + O(4) <=> CFO(50) + O2(2),"{'CFO(50)': 1.0, 'O2(2)': 1.0}","{'CFO2(178)': 1.0, 'O(4)': 1.0}"
55,-0.0009166884166395411,CH2(T)(17) + HO2(10) <=> CH2O(19) + OH(5),"{'CH2O(19)': 1.0, 'OH(5)': 1.0}","{'CH2(T)(17)': 1.0, 'HO2(10)': 1.0}"
70,-0.0009096065542011079,HCO(14) + O(4) <=> CO2(13) + H(3),"{'CO2(13)': 1.0, 'H(3)': 1.0}","{'HCO(14)': 1.0, 'O(4)': 1.0}"
37,0.0008601489392007593,H(3) + HO2(10) <=> H2O(7) + O(4),"{'H2O(7)': 1.0, 'O(4)': 1.0}","{'H(3)': 1.0, 'HO2(10)': 1.0}"
75,0.0008398202635232658,CH2O(19) + O(4) <=> HCO(14) + OH(5),"{'HCO(14)': 1.0, 'OH(5)': 1.0}","{'CH2O(19)': 1.0, 'O(4)': 1.0}"
232,0.0007112909181201721,F(37) + [O][C]1OO1(659) <=> CFO(50) + O2(2),"{'CFO(50)': 1.0, 'O2(2)': 1.0}","{'F(37)': 1.0, '[O][C]1OO1(659)': 1.0}"
197,-0.0006965714252555518,2 HO2(10) <=> H2O2(11) + O2(2),"{'H2O2(11)': 1.0, 'O2(2)': 1.0}",{'HO2(10)': 2.0}
504,0.000671372940938431,CH2O(19) + OH(5) <=> CH2O2(153) + H(3),"{'CH2O2(153)': 1.0, 'H(3)': 1.0}","{'CH2O(19)': 1.0, 'OH(5)': 1.0}"
909,-0.0006328084663706916,CFO(50) + O(4) <=> CO(12) + [O]F(257),"{'CO(12)': 1.0, '[O]F(257)': 1.0}","{'CFO(50)': 1.0, 'O(4)': 1.0}"
241,-0.0006098382336141938,CO2(13) + O(4) <=> [O][C]1OO1(659),{'[O][C]1OO1(659)': 1.0},"{'CO2(13)': 1.0, 'O(4)': 1.0}"
199,0.0005755033256318765,H2O2(11) (+M) <=> 2 OH(5) (+M),{'OH(5)': 2.0},{'H2O2(11)': 1.0}
201,-0.0005303278832851557,H(3) + H2O2(11) <=> H2(6) + HO2(10),"{'H2(6)': 1.0, 'HO2(10)': 1.0}","{'H(3)': 1.0, 'H2O2(11)': 1.0}"
110,-0.0005173886346219393,CHFO(46) + O(4) <=> CFO(50) + OH(5),"{'CFO(50)': 1.0, 'OH(5)': 1.0}","{'CHFO(46)': 1.0, 'O(4)': 1.0}"
200,-0.0005140725406551278,H(3) + H2O2(11) <=> H2O(7) + OH(5),"{'H2O(7)': 1.0, 'OH(5)': 1.0}","{'H(3)': 1.0, 'H2O2(11)': 1.0}"
39,0.00048194582264645525,HO2(10) + OH(5) <=> H2O(7) + O2(2),"{'H2O(7)': 1.0, 'O2(2)': 1.0}","{'HO2(10)': 1.0, 'OH(5)': 1.0}"
1061,0.0004723859068716633,CHFO(46) + OH(5) <=> CFOOH(127) + H(3),"{'CFOOH(127)': 1.0, 'H(3)': 1.0}","{'CHFO(46)': 1.0, 'OH(5)': 1.0}"
513,-0.00046754554831105957,CFOOH(127) + O2(149) <=> CFO3(398) + OH(5),"{'CFO3(398)': 1.0, 'OH(5)': 1.0}","{'CFOOH(127)': 1.0, 'O2(149)': 1.0}"
44,-0.0004098462795768452,CO(12) + O(4) (+M) <=> CO2(13) (+M),{'CO2(13)': 1.0},"{'CO(12)': 1.0, 'O(4)': 1.0}"
746,0.0003807548530051806,CH2F(45) + CHFO3(641) <=> CFO3(398) + CH3F(1),"{'CFO3(398)': 1.0, 'CH3F(1)': 1.0}","{'CH2F(45)': 1.0, 'CHFO3(641)': 1.0}"
213,0.0003797678943038803,HCO(14) + HO2(10) <=> CO(12) + H2O2(11),"{'CO(12)': 1.0, 'H2O2(11)': 1.0}","{'HCO(14)': 1.0, 'HO2(10)': 1.0}"
284,-0.0003532873124254884,CH3F(1) + CHO2(154) <=> CH2F(45) + CH2O2(153),"{'CH2F(45)': 1.0, 'CH2O2(153)': 1.0}","{'CH3F(1)': 1.0, 'CHO2(154)': 1.0}"
108,0.0003517604658013241,CFO(50) + CH3F(1) <=> CH2F(45) + CHFO(46),"{'CH2F(45)': 1.0, 'CHFO(46)': 1.0}","{'CFO(50)': 1.0, 'CH3F(1)': 1.0}"
60,0.0003478182150511136,CH2O(19) + O(4) <=> CHO2(154) + H(3),"{'CHO2(154)': 1.0, 'H(3)': 1.0}","{'CH2O(19)': 1.0, 'O(4)': 1.0}"
161,0.0003304514017013024,CFO(50) + O2(2) <=> CFO3(398),{'CFO3(398)': 1.0},"{'CFO(50)': 1.0, 'O2(2)': 1.0}"
30,-0.00031252791469860565,CHO2(154) + O2(2) <=> CO2(13) + HO2(10),"{'CO2(13)': 1.0, 'HO2(10)': 1.0}","{'CHO2(154)': 1.0, 'O2(2)': 1.0}"
11,-0.0003094989818938909,CHO2(154) + H(3) <=> CO2(13) + H2(6),"{'CO2(13)': 1.0, 'H2(6)': 1.0}","{'CHO2(154)': 1.0, 'H(3)': 1.0}"
204,-0.0002976849079598464,H2O2(11) + OH(5) <=> H2O(7) + HO2(10),"{'H2O(7)': 1.0, 'HO2(10)': 1.0}","{'H2O2(11)': 1.0, 'OH(5)': 1.0}"
943,0.0002928892225587147,HO2(10) + [O]F(257) <=> OH(5) + [O]OF(145),"{'OH(5)': 1.0, '[O]OF(145)': 1.0}","{'HO2(10)': 1.0, '[O]F(257)': 1.0}"
85,-0.0002509684018848996,2 HCO(14) <=> CH2O(19) + CO(12),"{'CH2O(19)': 1.0, 'CO(12)': 1.0}",{'HCO(14)': 2.0}
1724,-0.00022568746801860228,CH2OH(33) (+M) <=> CH2O(19) + H(3) (+M),"{'CH2O(19)': 1.0, 'H(3)': 1.0}",{'CH2OH(33)': 1.0}
132,-0.00021630528463782592,CFO(50) + O(4) <=> CO2(13) + F(37),"{'CO2(13)': 1.0, 'F(37)': 1.0}","{'CFO(50)': 1.0, 'O(4)': 1.0}"
760,0.00021451279288380934,CFO(50) + HO2(10) <=> CFO2(178) + OH(5),"{'CFO2(178)': 1.0, 'OH(5)': 1.0}","{'CFO(50)': 1.0, 'HO2(10)': 1.0}"
300,-0.0002010069734210492,CH2O2(153) <=> CO(12) + H2O(7),"{'CO(12)': 1.0, 'H2O(7)': 1.0}",{'CH2O2(153)': 1.0}
202,-0.00019877245623562217,H2O2(11) + O(4) <=> HO2(10) + OH(5),"{'HO2(10)': 1.0, 'OH(5)': 1.0}","{'H2O2(11)': 1.0, 'O(4)': 1.0}"
768,0.00017629350755003564,CFO2(178) + OH(5) <=> CFO3(398) + H(3),"{'CFO3(398)': 1.0, 'H(3)': 1.0}","{'CFO2(178)': 1.0, 'OH(5)': 1.0}"
298,0.00016896207906516762,CH2O2(153) + H(3) <=> CHO2(157) + H2(6),"{'CHO2(157)': 1.0, 'H2(6)': 1.0}","{'CH2O2(153)': 1.0, 'H(3)': 1.0}"
223,-0.00016638299587320987,CFO(50) + OH(5) <=> CFOOH(127),{'CFOOH(127)': 1.0},"{'CFO(50)': 1.0, 'OH(5)': 1.0}"
900,-0.00016579609136157129,CH2O2(153) + O2(149) <=> CHO2(154) + HO2(10),"{'CHO2(154)': 1.0, 'HO2(10)': 1.0}","{'CH2O2(153)': 1.0, 'O2(149)': 1.0}"
913,-0.00016028496836294513,H(3) + [O]F(257) <=> F(37) + OH(5),"{'F(37)': 1.0, 'OH(5)': 1.0}","{'H(3)': 1.0, '[O]F(257)': 1.0}"
114,-0.00015846917079456125,CFO(50) + HCO(14) <=> CHFO(46) + CO(12),"{'CHFO(46)': 1.0, 'CO(12)': 1.0}","{'CFO(50)': 1.0, 'HCO(14)': 1.0}"
1247,0.0001555749876893218,CHO2(154) + OH(5) <=> HCO(14) + HO2(10),"{'HCO(14)': 1.0, 'HO2(10)': 1.0}","{'CHO2(154)': 1.0, 'OH(5)': 1.0}"
198,0.00014333457287327495,2 HO2(10) <=> H2O2(11) + O2(2),"{'H2O2(11)': 1.0, 'O2(2)': 1.0}",{'HO2(10)': 2.0}
84,-0.00013538477915867937,CH2F(45) + CH2O(19) <=> CH3F(1) + HCO(14),"{'CH3F(1)': 1.0, 'HCO(14)': 1.0}","{'CH2F(45)': 1.0, 'CH2O(19)': 1.0}"
206,0.00012441663790038052,CH2F(45) + H2O2(11) <=> CH3F(1) + HO2(10),"{'CH3F(1)': 1.0, 'HO2(10)': 1.0}","{'CH2F(45)': 1.0, 'H2O2(11)': 1.0}"
23,-0.00011500440794437094,CHO2(154) + O(4) <=> CO2(13) + OH(5),"{'CO2(13)': 1.0, 'OH(5)': 1.0}","{'CHO2(154)': 1.0, 'O(4)': 1.0}"
256,0.00010850386920757171,CO3(658) <=> [O][C]1OO1(659),{'[O][C]1OO1(659)': 1.0},{'CO3(658)': 1.0}
205,0.00010347546215050686,CH2O(19) + HO2(10) <=> H2O2(11) + HCO(14),"{'H2O2(11)': 1.0, 'HCO(14)': 1.0}","{'CH2O(19)': 1.0, 'HO2(10)': 1.0}"
238,-9.981014865060396e-05,H(3) + [O][C]1OO1(659) <=> O[C]1OO1(661),{'O[C]1OO1(661)': 1.0},"{'H(3)': 1.0, '[O][C]1OO1(659)': 1.0}"
364,9.82249560500273e-05,CFO2(178) + H(3) <=> CFO(50) + OH(5),"{'CFO(50)': 1.0, 'OH(5)': 1.0}","{'CFO2(178)': 1.0, 'H(3)': 1.0}"
124,9.286132882617163e-05,CH3F(1) + F(37) <=> CH2F(45) + HF(38),"{'CH2F(45)': 1.0, 'HF(38)': 1.0}","{'CH3F(1)': 1.0, 'F(37)': 1.0}"
144,-8.806100215762275e-05,CHO2(157) + O2(2) <=> CO2(13) + HO2(10),"{'CO2(13)': 1.0, 'HO2(10)': 1.0}","{'CHO2(157)': 1.0, 'O2(2)': 1.0}"
348,-8.795121845352289e-05,CHO2(157) + OH(5) <=> CO2(13) + H2O(7),"{'CO2(13)': 1.0, 'H2O(7)': 1.0}","{'CHO2(157)': 1.0, 'OH(5)': 1.0}"
101,-8.535842545040098e-05,CH2(T)(17) + OH(5) <=> CH(16) + H2O(7),"{'CH(16)': 1.0, 'H2O(7)': 1.0}","{'CH2(T)(17)': 1.0, 'OH(5)': 1.0}"
299,8.257961193705547e-05,CH2O2(153) + OH(5) <=> CHO2(157) + H2O(7),"{'CHO2(157)': 1.0, 'H2O(7)': 1.0}","{'CH2O2(153)': 1.0, 'OH(5)': 1.0}"
1381,-8.240773843094456e-05,CHFO(46) + H(3) <=> O[CH]F(224),{'O[CH]F(224)': 1.0},"{'CHFO(46)': 1.0, 'H(3)': 1.0}"
128,7.911029945372604e-05,F(37) + OH(5) <=> HF(38) + O(4),"{'HF(38)': 1.0, 'O(4)': 1.0}","{'F(37)': 1.0, 'OH(5)': 1.0}"
21,-7.334895051199793e-05,2 O(4) + M <=> O2(2) + M,{'O2(2)': 1.0},{'O(4)': 2.0}
277,-7.093776043597252e-05,CHO2(154) + H(3) <=> CO(12) + H2O(7),"{'CO(12)': 1.0, 'H2O(7)': 1.0}","{'CHO2(154)': 1.0, 'H(3)': 1.0}"
48,6.928043015928314e-05,CO(12) + HO2(10) <=> CO2(13) + OH(5),"{'CO2(13)': 1.0, 'OH(5)': 1.0}","{'CO(12)': 1.0, 'HO2(10)': 1.0}"
203,-6.602875727042682e-05,H2O2(11) + OH(5) <=> H2O(7) + HO2(10),"{'H2O(7)': 1.0, 'HO2(10)': 1.0}","{'H2O2(11)': 1.0, 'OH(5)': 1.0}"
336,6.570736343901896e-05,CH2F(45) + O[C]1OO1(661) <=> CH3F(1) + CO3(658),"{'CH3F(1)': 1.0, 'CO3(658)': 1.0}","{'CH2F(45)': 1.0, 'O[C]1OO1(661)': 1.0}"
1351,-6.33684255159212e-05,O2(2) + O[CH]F(224) <=> CHFO(46) + HO2(10),"{'CHFO(46)': 1.0, 'HO2(10)': 1.0}","{'O2(2)': 1.0, 'O[CH]F(224)': 1.0}"
489,6.076183474791065e-05,CFO(50) + O2(2) <=> CO(12) + [O]OF(145),"{'CO(12)': 1.0, '[O]OF(145)': 1.0}","{'CFO(50)': 1.0, 'O2(2)': 1.0}"
47,6.01661911133072e-05,CO(12) + OH(5) <=> CO2(13) + H(3),"{'CO2(13)': 1.0, 'H(3)': 1.0}","{'CO(12)': 1.0, 'OH(5)': 1.0}"
589,5.9345839466932296e-05,2 CFO(50) <=> CF2O(48) + CO(12),"{'CF2O(48)': 1.0, 'CO(12)': 1.0}",{'CFO(50)': 2.0}
640,-5.691798855633247e-05,H(3) + OF(231) <=> HF(38) + OH(5),"{'HF(38)': 1.0, 'OH(5)': 1.0}","{'H(3)': 1.0, 'OF(231)': 1.0}"
43,-5.690066349447669e-05,CHO2(154) + OH(5) <=> CO2(13) + H2O(7),"{'CO2(13)': 1.0, 'H2O(7)': 1.0}","{'CHO2(154)': 1.0, 'OH(5)': 1.0}"
643,-5.6557929508457414e-05,CFO(50) + OH(5) <=> CO(12) + OF(231),"{'CO(12)': 1.0, 'OF(231)': 1.0}","{'CFO(50)': 1.0, 'OH(5)': 1.0}"
911,-5.642719401395906e-05,O(4) + [O]F(257) <=> F(37) + O2(2),"{'F(37)': 1.0, 'O2(2)': 1.0}","{'O(4)': 1.0, '[O]F(257)': 1.0}"
73,-5.279589650440992e-05,H(3) + HCO(14) (+M) <=> CH2O(19) (+M),{'CH2O(19)': 1.0},"{'H(3)': 1.0, 'HCO(14)': 1.0}"
32,-5.11486188694073e-05,O(4) + OH(5) <=> HO2(10),{'HO2(10)': 1.0},"{'O(4)': 1.0, 'OH(5)': 1.0}"
113,-4.753334169109781e-05,CFO(50) + HCO(14) <=> CHFO(46) + CO(12),"{'CHFO(46)': 1.0, 'CO(12)': 1.0}","{'CFO(50)': 1.0, 'HCO(14)': 1.0}"
57,4.3423470851197686e-05,CH2O(19) (+M) <=> CO(12) + H2(6) (+M),"{'CO(12)': 1.0, 'H2(6)': 1.0}",{'CH2O(19)': 1.0}
647,4.176509698245654e-05,F(37) + OH(5) <=> OF(231),{'OF(231)': 1.0},"{'F(37)': 1.0, 'OH(5)': 1.0}"
1728,-4.01410959863152e-05,CH2OH(33) + O2(2) <=> CH2O(19) + HO2(10),"{'CH2O(19)': 1.0, 'HO2(10)': 1.0}","{'CH2OH(33)': 1.0, 'O2(2)': 1.0}"
359,3.943953066070796e-05,CO2(13) + F(37) <=> CFO2(178),{'CFO2(178)': 1.0},"{'CO2(13)': 1.0, 'F(37)': 1.0}"
130,-3.7144866718065165e-05,CHFO(46) + F(37) <=> CFO(50) + HF(38),"{'CFO(50)': 1.0, 'HF(38)': 1.0}","{'CHFO(46)': 1.0, 'F(37)': 1.0}"
139,3.653206046464207e-05,CHO2(157) <=> CO2(13) + H(3),"{'CO2(13)': 1.0, 'H(3)': 1.0}",{'CHO2(157)': 1.0}
512,-3.633064476534013e-05,CFOOH(127) + O2(149) <=> CFO2(178) + HO2(10),"{'CFO2(178)': 1.0, 'HO2(10)': 1.0}","{'CFOOH(127)': 1.0, 'O2(149)': 1.0}"
141,-3.631551946035177e-05,CHO2(157) + O(4) <=> CO2(13) + OH(5),"{'CO2(13)': 1.0, 'OH(5)': 1.0}","{'CHO2(157)': 1.0, 'O(4)': 1.0}"
380,3.279335233257001e-05,CFO2(178) + CH3F(1) <=> CFOOH(127) + CH2F(45),"{'CFOOH(127)': 1.0, 'CH2F(45)': 1.0}","{'CFO2(178)': 1.0, 'CH3F(1)': 1.0}"
140,-3.0171385524862373e-05,CHO2(157) + H(3) <=> CO2(13) + H2(6),"{'CO2(13)': 1.0, 'H2(6)': 1.0}","{'CHO2(157)': 1.0, 'H(3)': 1.0}"
